,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,jakiIna5TM0HZmpSd1-OgmFukF3I7xS__Xzmp1AZQ3j3MyZGhwKCgZjWQg,Strong7,1041,99,62,False,False,False,True
1,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,zmkDX47OyIR4hhIzOycrn5B3Sbhylav0_J1tscIm2RyDVIUfLcEVoWJC0g,땅굴팀 미드,968,101,68,False,False,False,False
2,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,0HNVnX1SAcimtF3spEKWkBUpl52x29dAVnGXCTGzKfAPm80,Let me sup,960,154,127,False,False,True,False
3,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,nUuhHjHcrxBMUb3sWmMPKT7uevQvBItVXKuoSms2uYJNIaXhdfAGhYgt5w,ko0k,842,75,31,False,False,True,False
4,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,V0SQ6UYS1D910zuqAAKFisT_3LErzt_Xfa-3eyi8Bbxsbm8,jkjkjkjkk,816,134,106,False,False,True,False
5,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,CosLKfG0xxPjQwUT8vGhT8WUUVU8mipfd3rrZSEIHA9mQGiKt1lDXzuyTQ,Agurin모모,813,147,103,True,False,False,False
6,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,djhufFjyQnDg3ViNxh8RshQ_3_fzcqCZW0miA7viBiiCcOA,칼과 창 방패,807,113,87,False,False,True,True
7,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,EaMeW1rDAXxDFKcdd1KGtOUPPNhqm7Mlc0AMrrE6jQPfdj9llugSpPHNNg,TF Blade2,762,127,83,False,False,True,False
8,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,NOEbp4sgMHTqntB_schYR4tQ0EhoHvHbQ0S2jo7DyQvWi8sNcGpaTBa0oQ,염소 그리핀,756,109,83,False,False,True,False
9,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,L2iTZlT0l1fZzwpt-z-2GlvQ-eZksGS4sHysi9j0rM7CGUI,NS Callme,692,78,53,False,False,True,True
