,summonerName,matchId,champion,win
0,땅굴팀 미드,KR_6638222694,Yasuo,False
1,땅굴팀 미드,KR_6638169346,Yone,False
2,땅굴팀 미드,KR_6638097914,Yone,False
3,땅굴팀 미드,KR_6638055704,Yasuo,True
4,땅굴팀 미드,KR_6638020464,Yone,True
5,땅굴팀 미드,KR_6637966249,Yasuo,False
6,땅굴팀 미드,KR_6637909390,Qiyana,True
7,땅굴팀 미드,KR_6637745040,Qiyana,True
8,땅굴팀 미드,KR_6637740040,Yone,True
9,땅굴팀 미드,KR_6637730560,Yasuo,True
10,땅굴팀 미드,KR_6637722791,Zeri,True
11,땅굴팀 미드,KR_6637729405,Zeri,True
12,땅굴팀 미드,KR_6637720132,Fizz,False
13,땅굴팀 미드,KR_6637710246,Jhin,False
14,땅굴팀 미드,KR_6637516768,Yone,False
15,땅굴팀 미드,KR_6637441687,Yone,False
16,땅굴팀 미드,KR_6637334752,Yone,True
17,땅굴팀 미드,KR_6637241973,Yone,False
18,땅굴팀 미드,KR_6637178011,Yone,True
19,땅굴팀 미드,KR_6637057765,Yasuo,False
20,땅굴팀 미드,KR_6636892563,Yone,True
21,땅굴팀 미드,KR_6636773693,Yone,False
22,땅굴팀 미드,KR_6636665889,Yone,True
23,땅굴팀 미드,KR_6636488826,Blitzcrank,True
24,땅굴팀 미드,KR_6636243483,Illaoi,False
25,땅굴팀 미드,KR_6636210277,Illaoi,True
26,땅굴팀 미드,KR_6636168985,Illaoi,True
27,땅굴팀 미드,KR_6636152039,Annie,False
28,땅굴팀 미드,KR_6636119713,Zeri,False
29,땅굴팀 미드,KR_6636090481,Kaisa,False
30,땅굴팀 미드,KR_6636060147,Soraka,False
31,땅굴팀 미드,KR_6635658589,Thresh,True
32,땅굴팀 미드,KR_6635643946,Annie,True
33,땅굴팀 미드,KR_6635647413,Zed,True
34,땅굴팀 미드,KR_6635632812,Zeri,True
35,땅굴팀 미드,KR_6635623734,Twitch,False
36,땅굴팀 미드,KR_6635613608,Nami,True
37,땅굴팀 미드,KR_6634971990,Qiyana,True
38,땅굴팀 미드,KR_6634837371,Yasuo,True
39,땅굴팀 미드,KR_6634696650,Yasuo,False
40,땅굴팀 미드,KR_6634617502,Yone,True
41,땅굴팀 미드,KR_6634496190,Yasuo,True
42,땅굴팀 미드,KR_6634425847,Yone,True
43,땅굴팀 미드,KR_6634330581,Yasuo,True
44,땅굴팀 미드,KR_6634022712,Yasuo,False
45,땅굴팀 미드,KR_6633976083,Yasuo,True
46,땅굴팀 미드,KR_6633932906,Lucian,False
47,땅굴팀 미드,KR_6633912676,Lucian,False
48,땅굴팀 미드,KR_6633808818,Yasuo,False
49,땅굴팀 미드,KR_6633753856,Yasuo,False
50,땅굴팀 미드,KR_6633721825,Yone,True
51,땅굴팀 미드,KR_6633421099,Zeri,True
52,땅굴팀 미드,KR_6633410036,Zeri,True
53,땅굴팀 미드,KR_6633357054,Ashe,True
54,땅굴팀 미드,KR_6632842533,Yone,False
55,땅굴팀 미드,KR_6632735026,Yone,True
56,땅굴팀 미드,KR_6632652969,Yone,True
57,땅굴팀 미드,KR_6632511836,Yasuo,False
58,땅굴팀 미드,KR_6632420208,Yasuo,False
59,땅굴팀 미드,KR_6632333950,Yone,True
60,땅굴팀 미드,KR_6632276014,Yasuo,False
61,땅굴팀 미드,KR_6632212595,Qiyana,False
62,땅굴팀 미드,KR_6632149819,Yone,True
63,땅굴팀 미드,KR_6632098545,Yasuo,False
64,땅굴팀 미드,KR_6632059021,Qiyana,True
65,땅굴팀 미드,KR_6632001915,Yone,True
66,땅굴팀 미드,KR_6631918503,Qiyana,True
67,땅굴팀 미드,KR_6631863614,LeeSin,False
68,땅굴팀 미드,KR_6631813657,Yone,True
69,땅굴팀 미드,KR_6631787395,Yone,False
70,땅굴팀 미드,KR_6631766671,Yasuo,False
71,땅굴팀 미드,KR_6630896104,Yone,False
72,땅굴팀 미드,KR_6630813710,Yasuo,True
73,땅굴팀 미드,KR_6630744982,Qiyana,False
74,땅굴팀 미드,KR_6630646677,Tristana,False
75,땅굴팀 미드,KR_6630604578,Tristana,True
76,땅굴팀 미드,KR_6630548117,Yone,True
77,땅굴팀 미드,KR_6630476948,Yasuo,False
78,땅굴팀 미드,KR_6630399973,Yasuo,True
79,땅굴팀 미드,KR_6630333869,Yone,True
80,땅굴팀 미드,KR_6630301185,Yasuo,False
81,땅굴팀 미드,KR_6630239635,Yasuo,False
82,땅굴팀 미드,KR_6630205230,Blitzcrank,False
83,땅굴팀 미드,KR_6630144867,Yasuo,False
84,땅굴팀 미드,KR_6630123248,Yone,False
85,땅굴팀 미드,KR_6630083307,Yasuo,True
86,땅굴팀 미드,KR_6630020785,Yone,False
87,땅굴팀 미드,KR_6629872919,Graves,False
88,땅굴팀 미드,KR_6629857400,Yone,False
89,땅굴팀 미드,KR_6629810669,Katarina,False
90,땅굴팀 미드,KR_6629748138,Zeri,True
91,땅굴팀 미드,KR_6629712062,Yasuo,True
92,땅굴팀 미드,KR_6629235239,Yuumi,True
93,땅굴팀 미드,KR_6629127804,Yasuo,False
94,땅굴팀 미드,KR_6629036212,Yone,True
95,땅굴팀 미드,KR_6628982771,Yasuo,True
96,땅굴팀 미드,KR_6628796817,Yasuo,True
97,땅굴팀 미드,KR_6628717589,Yone,False
98,땅굴팀 미드,KR_6628662348,Yone,True
99,이 차가 식기전에,KR_6638254622,Hecarim,False
100,이 차가 식기전에,KR_6638122908,Hecarim,True
101,이 차가 식기전에,KR_6637991328,Hecarim,True
102,이 차가 식기전에,KR_6637465981,Aatrox,False
103,이 차가 식기전에,KR_6637386258,Sejuani,True
104,이 차가 식기전에,KR_6637190183,Hecarim,True
105,이 차가 식기전에,KR_6637124261,Hecarim,False
106,이 차가 식기전에,KR_6637025155,Hecarim,False
107,이 차가 식기전에,KR_6636939142,Hecarim,True
108,이 차가 식기전에,KR_6636720485,Taliyah,False
109,이 차가 식기전에,KR_6636583559,Hecarim,True
110,이 차가 식기전에,KR_6636351422,Hecarim,False
111,이 차가 식기전에,KR_6636207700,Hecarim,False
112,이 차가 식기전에,KR_6636110071,Renekton,False
113,이 차가 식기전에,KR_6635993512,Hecarim,True
114,이 차가 식기전에,KR_6635903549,Hecarim,True
115,이 차가 식기전에,KR_6633140049,Hecarim,True
116,이 차가 식기전에,KR_6632991952,Hecarim,False
117,이 차가 식기전에,KR_6632668386,Hecarim,True
118,이 차가 식기전에,KR_6632591037,Khazix,False
119,이 차가 식기전에,KR_6632550085,Hecarim,True
120,이 차가 식기전에,KR_6632485834,Hecarim,False
121,이 차가 식기전에,KR_6632413568,Hecarim,True
122,이 차가 식기전에,KR_6632350731,Sejuani,False
123,이 차가 식기전에,KR_6631309621,Sejuani,False
124,이 차가 식기전에,KR_6631118624,Hecarim,False
125,이 차가 식기전에,KR_6631010247,Khazix,True
126,이 차가 식기전에,KR_6630548117,Hecarim,False
127,이 차가 식기전에,KR_6630485146,Sejuani,False
128,이 차가 식기전에,KR_6630399973,Hecarim,False
129,이 차가 식기전에,KR_6630301600,Hecarim,False
130,이 차가 식기전에,KR_6630200977,Hecarim,True
131,이 차가 식기전에,KR_6629619336,Hecarim,False
132,이 차가 식기전에,KR_6629425353,Hecarim,True
133,이 차가 식기전에,KR_6629314192,Hecarim,False
134,이 차가 식기전에,KR_6629189242,Hecarim,False
135,이 차가 식기전에,KR_6629036212,Hecarim,False
136,이 차가 식기전에,KR_6628893941,Hecarim,True
137,이 차가 식기전에,KR_6628795582,Hecarim,True
138,이 차가 식기전에,KR_6628741717,Hecarim,True
139,이 차가 식기전에,KR_6628688935,Zac,False
140,이 차가 식기전에,KR_6628638668,Hecarim,False
141,이 차가 식기전에,KR_6628573470,Hecarim,True
142,이 차가 식기전에,KR_6628490612,Hecarim,False
143,이 차가 식기전에,KR_6628378972,Hecarim,False
144,이 차가 식기전에,KR_6628333574,Hecarim,False
145,이 차가 식기전에,KR_6626981351,Hecarim,False
146,이 차가 식기전에,KR_6626915531,Hecarim,False
147,이 차가 식기전에,KR_6626779753,RekSai,False
148,이 차가 식기전에,KR_6626673965,Hecarim,True
149,이 차가 식기전에,KR_6624344654,Hecarim,True
150,이 차가 식기전에,KR_6624002782,Hecarim,True
151,이 차가 식기전에,KR_6623724861,Hecarim,False
152,이 차가 식기전에,KR_6623616055,Hecarim,True
153,이 차가 식기전에,KR_6623536052,Hecarim,True
154,이 차가 식기전에,KR_6623168413,RekSai,True
155,이 차가 식기전에,KR_6622909827,Hecarim,True
156,이 차가 식기전에,KR_6622783045,Sejuani,True
157,이 차가 식기전에,KR_6622689617,Hecarim,True
158,이 차가 식기전에,KR_6621270625,Hecarim,True
159,이 차가 식기전에,KR_6621124286,Gragas,False
160,이 차가 식기전에,KR_6620999741,Hecarim,True
161,이 차가 식기전에,KR_6620864532,Hecarim,False
162,이 차가 식기전에,KR_6620764349,Hecarim,True
163,이 차가 식기전에,KR_6620658155,Hecarim,True
164,이 차가 식기전에,KR_6620595819,Hecarim,False
165,이 차가 식기전에,KR_6620568552,Hecarim,True
166,이 차가 식기전에,KR_6619377083,Hecarim,True
167,이 차가 식기전에,KR_6619327753,Hecarim,True
168,이 차가 식기전에,KR_6619249444,Hecarim,False
169,이 차가 식기전에,KR_6619169094,Hecarim,True
170,이 차가 식기전에,KR_6619052015,Blitzcrank,False
171,이 차가 식기전에,KR_6618939016,Hecarim,True
172,이 차가 식기전에,KR_6618845182,Rumble,True
173,이 차가 식기전에,KR_6618785612,Sejuani,True
174,이 차가 식기전에,KR_6618724704,Hecarim,True
175,이 차가 식기전에,KR_6618712105,Hecarim,False
176,이 차가 식기전에,KR_6617541554,Hecarim,True
177,이 차가 식기전에,KR_6617485876,Gragas,True
178,이 차가 식기전에,KR_6617440102,Hecarim,False
179,이 차가 식기전에,KR_6617341547,Hecarim,True
180,이 차가 식기전에,KR_6617258436,Hecarim,False
181,이 차가 식기전에,KR_6617185132,Sejuani,True
182,이 차가 식기전에,KR_6617129333,Hecarim,True
183,이 차가 식기전에,KR_6617078286,Hecarim,False
184,이 차가 식기전에,KR_6617032490,Hecarim,False
185,이 차가 식기전에,KR_6616931150,Hecarim,True
186,이 차가 식기전에,KR_6616920292,Hecarim,False
187,이 차가 식기전에,KR_6616907385,Hecarim,True
188,이 차가 식기전에,KR_6616884296,Gragas,False
189,이 차가 식기전에,KR_6616859326,Hecarim,False
190,이 차가 식기전에,KR_6615843360,Hecarim,True
191,이 차가 식기전에,KR_6615749090,Khazix,True
192,이 차가 식기전에,KR_6615591900,Hecarim,True
193,이 차가 식기전에,KR_6615400043,Hecarim,True
194,이 차가 식기전에,KR_6615267450,Hecarim,True
195,이 차가 식기전에,KR_6615229028,Hecarim,True
196,이 차가 식기전에,KR_6615199293,Hecarim,False
197,이 차가 식기전에,KR_6615153585,Hecarim,False
198,Agurin모모,KR_6638266908,JarvanIV,False
199,Agurin모모,KR_6638222694,Evelynn,False
200,Agurin모모,KR_6638152403,Khazix,False
201,Agurin모모,KR_6638109657,Elise,False
202,Agurin모모,KR_6638051660,Elise,False
203,Agurin모모,KR_6638020464,Elise,False
204,Agurin모모,KR_6637984053,JarvanIV,False
205,Agurin모모,KR_6637471255,Evelynn,False
206,Agurin모모,KR_6637411021,Elise,False
207,Agurin모모,KR_6637334752,Evelynn,True
208,Agurin모모,KR_6637230338,Elise,False
209,Agurin모모,KR_6637124261,JarvanIV,True
210,Agurin모모,KR_6637012012,Elise,True
211,Agurin모모,KR_6636892563,Elise,True
212,Agurin모모,KR_6636773693,JarvanIV,True
213,Agurin모모,KR_6636693202,Khazix,False
214,Agurin모모,KR_6636630967,JarvanIV,False
215,Agurin모모,KR_6636476277,Elise,True
216,Agurin모모,KR_6636351422,JarvanIV,True
217,Agurin모모,KR_6636227245,Elise,True
218,Agurin모모,KR_6636028582,Malzahar,True
219,Agurin모모,KR_6635956938,JarvanIV,True
220,Agurin모모,KR_6635523502,JarvanIV,True
221,Agurin모모,KR_6635488315,Elise,True
222,Agurin모모,KR_6635398709,Elise,False
223,Agurin모모,KR_6635327855,Nocturne,False
224,Agurin모모,KR_6635197292,JarvanIV,False
225,Agurin모모,KR_6635084544,JarvanIV,True
226,Agurin모모,KR_6634971759,Elise,True
227,Agurin모모,KR_6634869933,JarvanIV,False
228,Agurin모모,KR_6634720468,Elise,False
229,Agurin모모,KR_6634633475,Nocturne,False
230,Agurin모모,KR_6634545971,JarvanIV,True
231,Agurin모모,KR_6634496190,Elise,True
232,Agurin모모,KR_6634425847,Elise,True
233,Agurin모모,KR_6634381755,JarvanIV,True
234,Agurin모모,KR_6634319555,Ahri,False
235,Agurin모모,KR_6634244801,JarvanIV,True
236,Agurin모모,KR_6634191020,JarvanIV,False
237,Agurin모모,KR_6634101817,JarvanIV,False
238,Agurin모모,KR_6634023883,Elise,False
239,Agurin모모,KR_6633960115,JarvanIV,False
240,Agurin모모,KR_6633899709,JarvanIV,True
241,Agurin모모,KR_6633839030,Elise,True
242,Agurin모모,KR_6633257237,Elise,True
243,Agurin모모,KR_6633171924,Elise,False
244,Agurin모모,KR_6633060161,Ahri,False
245,Agurin모모,KR_6632652969,Elise,False
